,MODEL,C,Epsilon,Kernel,R2_fold1,R2_fold2,R2_fold3,R2_fold4,R2_fold5
203,SVR,5,0.3,rbf,-0.21090576361797653,-0.21132353225066236,-0.21284784840590798,-0.2178527165103712,-0.21052744862748685
204,SVR,5,0.4,rbf,-0.21090534695084062,-0.21132353225066236,-0.21282778275716296,-0.21784396617315815,-0.21049215838982738
205,SVR,5,0.5,rbf,-0.21085262190846543,-0.2113267181889964,-0.21281807829637156,-0.2178101083462416,-0.21047898474919946
206,SVR,10,0.1,rbf,-0.20946646464893282,-0.20976949972767556,-0.21148864415244684,-0.21649201202672086,-0.20912528144684628
207,SVR,10,0.2,rbf,-0.20941520508063816,-0.20975165727330758,-0.21145109622503333,-0.21647353325510998,-0.20908512513995814
208,SVR,10,0.3,rbf,-0.20940343554392715,-0.20972640181520763,-0.21144797134022486,-0.21643672506428246,-0.20903918235550845
209,SVR,10,0.4,rbf,-0.2094025988782129,-0.20972640181520763,-0.2114458045006613,-0.21641924842125526,-0.20896870357872777
210,SVR,10,0.5,rbf,-0.20929731174616495,-0.2097327640120208,-0.21136641044493398,-0.216351622056284,-0.20894239241328827
211,SVR,15,0.1,rbf,-0.20799760556765734,-0.20819607025468412,-0.21010856287455137,-0.21510527904141985,-0.2076818106980567
212,SVR,15,0.2,rbf,-0.207920829050952,-0.20816934631141026,-0.21005231158318494,-0.21504787175703632,-0.20762164853341525
213,SVR,15,0.3,rbf,-0.2079032023360503,-0.20813151866333635,-0.21004762934062393,-0.2150224556571616,-0.20755283316214657
